IDENTIFICACION,PRIORIDAD_ELECCION_CARRERA,OFA_ID,ANTECEDENTE_ACADEMICO,EVALUACION_CAPACIDAD,CONDICION_SOCIOECONOMICA_POBREZA,RURALIDAD,TERRITORIALIDAD,PUEBLO_NACIONALIDAD,PERSONA_CON_DISCAPACIDAD,BENEFICIARIO_BONO_JOAQUIN,VICTIMA_VIOLENCIA_GENERO,MIGRANTE_RETORNADO,HIJO_VICTIMA_FEMICIDIO,ENFERMEDAD_CATASTROFICA,ACOGIMIENTO_INSTITUCIONAL,MERITO_ACADEMICO,OTROS_RECONOCIMIENTOS,BACHILLER_CURSO_ACTUAL
9,3,3026,919,919,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
9,4,3006,919,919,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
10,1,3034,903,903,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
10,2,3001,903,903,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
10,3,3049,903,903,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
10,4,3012,903,903,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
11,1,3043,902,902,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
11,2,3013,902,902,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
11,3,3035,902,902,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
11,4,3008,902,902,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
12,1,3052,962,962,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
12,2,3045,962,962,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
12,3,3050,962,962,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
12,4,3048,962,962,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
13,1,3038,819,819,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
13,2,3049,819,819,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
13,3,3005,819,819,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
13,4,3010,819,819,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
14,1,3004,778,778,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
14,2,3013,778,778,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
14,3,3017,778,778,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
14,4,3012,778,778,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
15,1,3046,977,977,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
15,2,3016,977,977,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
15,3,3012,977,977,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
15,4,3035,977,977,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
16,1,3007,934,934,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
16,2,3045,934,934,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
16,3,3005,934,934,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
16,4,3054,934,934,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
17,1,3045,817,817,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
17,2,3010,817,817,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
17,3,3001,817,817,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
17,4,3043,817,817,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
18,1,3045,908,908,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
18,2,3005,908,908,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
18,3,3017,908,908,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
18,4,3008,908,908,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
19,1,3046,927,927,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
19,2,3041,927,927,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
19,3,3013,927,927,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
19,4,3005,927,927,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
20,1,3013,971,971,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
20,2,3045,971,971,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
20,3,3041,971,971,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
20,4,3049,971,971,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
21,1,3031,934,934,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
21,2,3006,934,934,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
21,3,3043,934,934,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
21,4,3045,934,934,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
22,1,3036,976,976,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
22,2,3045,976,976,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
22,3,3034,976,976,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
22,4,3035,976,976,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
23,1,3023,974,974,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
23,2,3001,974,974,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
23,3,3005,974,974,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
23,4,3043,974,974,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
24,1,3013,966,966,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
24,2,3034,966,966,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
24,3,3049,966,966,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
24,4,3012,966,966,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
25,1,3019,973,973,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
25,2,3045,973,973,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
25,3,3010,973,973,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
25,4,3005,973,973,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
26,1,3012,787,787,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
26,2,3008,787,787,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
26,3,3049,787,787,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
26,4,3045,787,787,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
27,1,3041,695,695,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
27,2,3047,695,695,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
27,3,3045,695,695,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
27,4,3010,695,695,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
28,1,3048,636,636,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
28,2,3035,636,636,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
28,3,3045,636,636,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
28,4,3012,636,636,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
29,1,3005,815,815,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
29,2,3010,815,815,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
29,3,3023,815,815,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
29,4,3046,815,815,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
30,1,3046,906,906,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
30,2,3001,906,906,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
30,3,3034,906,906,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
30,4,3020,906,906,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
31,1,3010,926,926,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
31,2,3006,926,926,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
31,3,3013,926,926,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
31,4,3051,926,926,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
32,1,3013,687,687,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
32,2,3035,687,687,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
32,3,3043,687,687,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
32,4,3017,687,687,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
33,1,3053,890,890,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
33,2,3051,890,890,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
33,3,3012,890,890,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
33,4,3034,890,890,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
34,1,3013,925,925,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
34,2,3012,925,925,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
34,3,3001,925,925,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
34,4,3040,925,925,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
35,1,3034,894,894,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
35,2,3004,894,894,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
35,3,3012,894,894,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
35,4,3049,894,894,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
36,1,3010,657,657,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
36,2,3007,657,657,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
36,3,3034,657,657,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
36,4,3054,657,657,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
37,1,3011,808,808,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
37,2,3043,808,808,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
37,3,3045,808,808,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
37,4,3010,808,808,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
38,1,3044,667,667,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
38,2,3017,667,667,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
38,3,3041,667,667,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
38,4,3035,667,667,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
39,1,3005,843,843,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
39,2,3046,843,843,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
39,3,3013,843,843,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
39,4,3010,843,843,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
40,1,3002,896,896,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
40,2,3038,896,896,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
40,3,3043,896,896,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
40,4,3001,896,896,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
41,1,3035,916,916,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
41,2,3010,916,916,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
41,3,3041,916,916,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
41,4,3045,916,916,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
42,1,3017,729,729,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
42,2,3050,729,729,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
42,3,3007,729,729,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
42,4,3013,729,729,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
43,1,3005,917,917,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
43,2,3049,917,917,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
43,3,3047,917,917,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
43,4,3012,917,917,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
44,1,3043,722,722,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
44,2,3046,722,722,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
44,3,3036,722,722,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
44,4,3035,722,722,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
45,1,3011,934,934,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
45,2,3005,934,934,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
45,3,3048,934,934,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
45,4,3041,934,934,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
46,1,3013,955,955,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
46,2,3014,955,955,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
46,3,3044,955,955,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
46,4,3048,955,955,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
47,1,3048,948,948,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
47,2,3045,948,948,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
47,3,3041,948,948,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
47,4,3005,948,948,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
48,1,3008,890,890,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
48,2,3048,890,890,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
48,3,3039,890,890,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
48,4,3001,890,890,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
49,1,3005,990,990,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
49,2,3043,990,990,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
49,3,3001,990,990,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
49,4,3008,990,990,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
50,1,3035,886,886,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
50,2,3043,886,886,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
50,3,3042,886,886,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
50,4,3010,886,886,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
51,1,3043,982,982,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
51,2,3010,982,982,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
51,3,3013,982,982,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
51,4,3045,982,982,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
52,1,3041,953,953,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
52,2,3046,953,953,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
52,3,3043,953,953,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
52,4,3037,953,953,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
53,1,3005,888,888,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
53,2,3017,888,888,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
53,3,3012,888,888,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
53,4,3011,888,888,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
54,1,3053,848,848,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
54,2,3017,848,848,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
54,3,3048,848,848,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
54,4,3041,848,848,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
55,1,3045,772,772,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
55,2,3034,772,772,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
55,3,3037,772,772,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
55,4,3008,772,772,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
56,1,3043,753,753,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
56,2,3012,753,753,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
56,3,3001,753,753,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
56,4,3041,753,753,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
57,1,3010,980,980,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
57,2,3051,980,980,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
57,3,3049,980,980,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
57,4,3017,980,980,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
58,1,3001,929,929,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
58,2,3049,929,929,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
58,3,3023,929,929,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
58,4,3051,929,929,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
59,1,3051,938,938,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
59,2,3046,938,938,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
59,3,3012,938,938,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
59,4,3017,938,938,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
60,1,3046,931,931,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
60,2,3013,931,931,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
60,3,3008,931,931,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
60,4,3036,931,931,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
61,1,3050,916,916,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
61,2,3043,916,916,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
61,3,3037,916,916,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
61,4,3005,916,916,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
62,1,3041,944,944,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
62,2,3054,944,944,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
62,3,3007,944,944,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
62,4,3035,944,944,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
63,1,3047,1000,1000,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
63,2,3045,1000,1000,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
63,3,3043,1000,1000,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI
